question_id,accuracy_a,accuracy_b,accuracy_delta_b_vs_a,hallucination_a,hallucination_b,latency_a,latency_b,tokens_in_a,tokens_in_b,context_chars_a,context_chars_b,ccr_context_chars_b,ccr_tokens_est_b,accuracy_c,accuracy_delta_c_vs_a,accuracy_delta_c_vs_b,hallucination_c,latency_c,tokens_in_c,context_chars_c,ccr_context_chars_c,ccr_tokens_est_c
NV24,1,1,0,false,false,6996,1866,27626,2156,89218,7239,12.324630473822351,12.323204419889503,1,0,0,true,14449,10512,40754,2.189183883790548,2.189125527529689
NV25,0,1,1,true,false,9572,3701,27626,1161,89218,3841,23.227805259047123,23.210197710718003,0,0,-1,false,1582,8738,36039,2.475595882238686,2.4755826859045507
NV26,2,1,-1,false,false,5682,2114,27632,2162,89218,7239,12.324630473822351,12.323204419889503,2,0,1,false,6497,9426,36687,2.4318695995856845,2.4318578281726997
NV27,1,2,1,false,false,1811,1672,27627,2265,89218,8246,10.819548872180452,10.817167798254122,1,0,-1,false,4562,9593,40453,2.2054730180703532,2.2053589084437415
NV28,2,2,0,false,false,4702,3184,27628,1464,89218,5261,16.95837293290249,16.949088145896656,1,-1,-1,false,14472,15154,62568,1.425936580999872,1.4259685462217109
NV29,0,2,2,true,false,2464,2115,27626,1558,89218,5452,16.364269992663242,16.364636830520908,0,0,-2,false,5417,10878,44701,1.9958837609896871,1.9957945597709377
NV30,3,1,-2,false,true,1919,1020,27625,1461,89218,5261,16.95837293290249,16.949088145896656,1,-2,0,true,12205,12787,52049,1.7141155449672425,1.714055175593637
NV31,0,1,1,false,false,1179,2468,27625,1557,89218,5452,16.364269992663242,16.364636830520908,2,2,1,false,10323,10208,41468,2.151490305777949,2.1515385357384007
NV32,0,1,1,false,true,1585,7662,27626,1995,89218,6757,13.20378866360811,13.198224852071005,1,1,0,false,20593,13267,52634,1.6950640270547555,1.6950376168401855
NV33,1,2,1,false,false,7666,2857,27627,2109,89218,6938,12.859325454021333,12.855907780979827,1,0,-1,false,6630,12795,50781,1.756916957129635,1.7568525519848772
NV34,1,1,0,true,true,14858,6467,27628,2187,89218,7296,12.228344298245615,12.228618421052632,0,-1,-1,false,7123,11751,46631,1.9132765756685466,1.913278435409161
NV35,1,0,-1,false,false,9381,5634,27629,1277,89218,4022,22.182496270512182,22.17196819085487,0,-1,0,false,2872,11997,48377,1.8442234946358806,1.844150475403059
NV36,1,1,0,false,false,13508,7353,27626,2185,89218,7296,12.228344298245615,12.228618421052632,1,0,0,false,20470,14839,52737,1.6917534179039384,1.6916951080773606
NV37,2,2,0,false,false,2112,1309,27625,1751,89218,5754,15.505387556482447,15.50034746351633,1,-1,-1,false,4232,9222,36316,2.4567132944156844,2.456768366560194
NV38,2,1,-1,false,false,2010,1170,27625,1066,89218,3398,26.256032960565037,26.241176470588236,1,-1,0,false,5059,10762,43332,2.058940275085387,2.058986430351703
NV39,2,0,-2,false,true,4175,2311,27627,2157,89218,7239,12.324630473822351,12.323204419889503,1,-1,1,false,12048,12176,49513,1.8019106093349222,1.8018418289037887
NV40,1,0,-1,false,false,10714,6684,27626,3356,89218,11275,7.912904656319291,7.912380276693863,1,0,1,false,18852,10847,46155,1.9330083414581303,1.9330097928763323
NV41,1,0,-1,false,false,4014,1711,27627,2268,89218,7434,12.001345170836696,11.998386229155459,1,0,1,false,6068,8306,34899,2.556462935900742,2.5564469914040115
NV42,1,1,0,true,false,8548,9119,27637,3473,89218,12376,7.2089528118939885,7.209114414996768,0,-1,-1,false,7636,9041,37459,2.381750714114098,2.381740523224773
